id,contributors,day,score,temperature_deviation,temperature_trend_deviation,timestamp
e604c4d9-dd53-433d-81ff-3ab635e95ae2,"{'activity_balance': 86, 'body_temperature': 100, 'hrv_balance': 85, 'previous_day_activity': 84, 'previous_night': 76, 'recovery_index': 91, 'resting_heart_rate': 97, 'sleep_balance': 84}",11/7/2023,86,-0.04,0.11,2023-11-07T00:00:00+00:00
c1ff15b5-afcd-4047-b75e-f76f53a9e3f8,"{'activity_balance': 89, 'body_temperature': 100, 'hrv_balance': 85, 'previous_day_activity': 88, 'previous_night': 78, 'recovery_index': 97, 'resting_heart_rate': 100, 'sleep_balance': 81}",11/8/2023,88,-0.02,0.14,2023-11-08T00:00:00+00:00
59457fc9-4532-465e-8cef-a7ef00a127e6,"{'activity_balance': 88, 'body_temperature': 99, 'hrv_balance': 82, 'previous_day_activity': 82, 'previous_night': 64, 'recovery_index': 100, 'resting_heart_rate': 100, 'sleep_balance': 85}",11/9/2023,85,0.08,0.08,2023-11-09T00:00:00+00:00
3afb43c8-6871-407d-93e1-57815aa809f9,"{'activity_balance': 92, 'body_temperature': 100, 'hrv_balance': 82, 'previous_day_activity': 85, 'previous_night': 67, 'recovery_index': 100, 'resting_heart_rate': 100, 'sleep_balance': 81}",11/10/2023,86,-0.07,-0.02,2023-11-10T00:00:00+00:00
3cf29bf1-ab87-4ac2-b102-04cc2902d38a,"{'activity_balance': 87, 'body_temperature': 99, 'hrv_balance': 74, 'previous_day_activity': 83, 'previous_night': 74, 'recovery_index': 100, 'resting_heart_rate': 100, 'sleep_balance': 84}",11/11/2023,86,0.08,0.05,2023-11-11T00:00:00+00:00
f5e353d6-dc16-40b0-a3f7-8d478bab4a9f,"{'activity_balance': 86, 'body_temperature': 90, 'hrv_balance': 80, 'previous_day_activity': 72, 'previous_night': 65, 'recovery_index': 50, 'resting_heart_rate': 69, 'sleep_balance': 89}",11/12/2023,74,0.18,0.11,2023-11-12T00:00:00+00:00
734dd7aa-6f1d-4e15-9684-85eec480c848,"{'activity_balance': 91, 'body_temperature': 75, 'hrv_balance': 75, 'previous_day_activity': 95, 'previous_night': 62, 'recovery_index': 75, 'resting_heart_rate': 95, 'sleep_balance': 79}",11/13/2023,80,0.37,0.15,2023-11-13T00:00:00+00:00
6fe0e6de-28cf-4928-b289-4e859174560f,"{'activity_balance': 85, 'body_temperature': 100, 'hrv_balance': 74, 'previous_day_activity': 85, 'previous_night': 67, 'recovery_index': 92, 'resting_heart_rate': 100, 'sleep_balance': 85}",11/14/2023,83,-0.05,0.07,2023-11-14T00:00:00+00:00
9beaf0fd-f140-4861-87a5-41467ab99e8c,"{'activity_balance': 85, 'body_temperature': 100, 'hrv_balance': 80, 'previous_day_activity': 79, 'previous_night': 66, 'recovery_index': 87, 'resting_heart_rate': 99, 'sleep_balance': 87}",11/15/2023,83,0.01,0.17,2023-11-15T00:00:00+00:00
23a9e2fe-465e-413d-84b9-9981f169a1e3,"{'activity_balance': 90, 'body_temperature': 100, 'hrv_balance': 74, 'previous_day_activity': 84, 'previous_night': 62, 'recovery_index': 100, 'resting_heart_rate': 100, 'sleep_balance': 80}",11/16/2023,83,0.02,0.16,2023-11-16T00:00:00+00:00
